A33|Правець новонародженого|eHealth/ICD10_AM/condition_codes
A34|Акушерський правець|eHealth/ICD10_AM/condition_codes
A35|Інший правець|eHealth/ICD10_AM/condition_codes
A38|Скарлатина|eHealth/ICD10_AM/condition_codes
A46|Бешиха|eHealth/ICD10_AM/condition_codes
A55|Хламідійна лімфогранульома (венерична)|eHealth/ICD10_AM/condition_codes
A57|Шанкроїд|eHealth/ICD10_AM/condition_codes
A58|Пахова гранульома|eHealth/ICD10_AM/condition_codes
A64|Неуточнена хвороба, що передається статевим шляхом|eHealth/ICD10_AM/condition_codes
A65|Невенеричний сифіліс|eHealth/ICD10_AM/condition_codes
A70|Інфекція, спричинена Chlamydia psittaci|eHealth/ICD10_AM/condition_codes
A78|Лихоманка Ку|eHealth/ICD10_AM/condition_codes
A86|Неуточнений вірусний енцефаліт|eHealth/ICD10_AM/condition_codes
A89|Вірусна інфекція центральної нервової системи, неуточнена|eHealth/ICD10_AM/condition_codes
A94|Неуточнена вірусна лихоманка, що переноситься членистоногими|eHealth/ICD10_AM/condition_codes
A99|Неуточнена вірусна геморагічна лихоманка|eHealth/ICD10_AM/condition_codes
B03|Віспа (натуральна)|eHealth/ICD10_AM/condition_codes
B04|Інфекції, спричинені вірусом мавпячої віспи|eHealth/ICD10_AM/condition_codes
B07|Вірусні бородавки|eHealth/ICD10_AM/condition_codes
B09|Неуточнена вірусна інфекція, яка характеризується ураженнями шкіри та слизових оболонок|eHealth/ICD10_AM/condition_codes
B20|Хвороба, зумовлена вірусом імунодефіциту людини [ВIЛ], яка проявляється інфекційними та паразитарними хворобами|eHealth/ICD10_AM/condition_codes
B21|Хвороба, зумовлена вірусом імунодефіциту людини [ВIЛ], внаслідок чого виникають злоякісні новоутворення|eHealth/ICD10_AM/condition_codes
B22|Хвороба, зумовлена вірусом імунодефіциту людини [ВIЛ], з проявами інших уточнених хвороб|eHealth/ICD10_AM/condition_codes
B24|Хвороба, зумовлена вірусом імунодефіциту людини [ВIЛ], неуточнена|eHealth/ICD10_AM/condition_codes
B49|Неуточнений мікоз|eHealth/ICD10_AM/condition_codes
B54|Неуточнена малярія|eHealth/ICD10_AM/condition_codes
B59|Пневмоцистоз (J17.3*)|eHealth/ICD10_AM/condition_codes
B64|Неуточнена протозойна хвороба|eHealth/ICD10_AM/condition_codes
B72|Дракункульоз|eHealth/ICD10_AM/condition_codes
B73|Онхоцеркоз|eHealth/ICD10_AM/condition_codes
B75|Трихінельоз|eHealth/ICD10_AM/condition_codes
B79|Трихуріаз|eHealth/ICD10_AM/condition_codes
B80|Ентеробіоз|eHealth/ICD10_AM/condition_codes
B86|Короста|eHealth/ICD10_AM/condition_codes
B89|Неуточнена паразитарна хвороба|eHealth/ICD10_AM/condition_codes
B91|Наслідки поліомієліту|eHealth/ICD10_AM/condition_codes
B92|Наслідки лепри|eHealth/ICD10_AM/condition_codes
B99|Інші інфекційні хвороби|eHealth/ICD10_AM/condition_codes
C01|Злоякісне новоутворення кореня язика|eHealth/ICD10_AM/condition_codes
C07|Злоякісне новоутворення привушної слинної залози|eHealth/ICD10_AM/condition_codes
C12|Злоякісне новоутворення грушоподібного синуса|eHealth/ICD10_AM/condition_codes
C19|Злоякісне новоутворення ректосигмоїдного з'єднання|eHealth/ICD10_AM/condition_codes
C20|Злоякісне новоутворення прямої кишки|eHealth/ICD10_AM/condition_codes
C23|Злоякісне новоутворення жовчного міхура|eHealth/ICD10_AM/condition_codes
C33|Злоякісне новоутворення трахеї|eHealth/ICD10_AM/condition_codes
C37|Злоякісне новоутворення загруднинної залози (тимуса)|eHealth/ICD10_AM/condition_codes
C52|Злоякісне новоутворення піхви|eHealth/ICD10_AM/condition_codes
C55|Злоякісне новоутворення неуточненого відділу матки|eHealth/ICD10_AM/condition_codes
C56|Злоякісне новоутворення яєчника|eHealth/ICD10_AM/condition_codes
C58|Злоякісне новоутворення плаценти|eHealth/ICD10_AM/condition_codes
C61|Злоякісне новоутворення передміхурової залози|eHealth/ICD10_AM/condition_codes
C64|Злоякісне новоутворення нирки, за винятком ниркової миски|eHealth/ICD10_AM/condition_codes
C65|Злоякісне новоутворення ниркової миски|eHealth/ICD10_AM/condition_codes
C66|Злоякісне новоутворення сечовода|eHealth/ICD10_AM/condition_codes
C73|Злоякісне новоутворення щитоподібної залози|eHealth/ICD10_AM/condition_codes
D24|Доброякісне новоутворення грудної залози|eHealth/ICD10_AM/condition_codes
D27|Доброякісне новоутворення яєчника|eHealth/ICD10_AM/condition_codes
D34|Доброякісне новоутворення щитоподібної залози|eHealth/ICD10_AM/condition_codes
D45|Полiцитемiя справжня|eHealth/ICD10_AM/condition_codes
D62|Гостра постгеморагiчна анемія|eHealth/ICD10_AM/condition_codes
D63|Анемія при хронічних хворобах, класифікованих в інших рубриках|eHealth/ICD10_AM/condition_codes
D65|Дисемiноване внутрішньосудинне згортання [синдром дефібринації]|eHealth/ICD10_AM/condition_codes
D66|Спадковий дефіцит фактора VIII|eHealth/ICD10_AM/condition_codes
D67|Спадковий дефіцит фактора IX|eHealth/ICD10_AM/condition_codes
D70|Агранулоцитоз|eHealth/ICD10_AM/condition_codes
D71|Функціональні порушення полiморфноядерних нейтрофiлiв|eHealth/ICD10_AM/condition_codes
D77|Інші порушення крові та кровотворних органів при хворобах, класифікованих в інших рубриках|eHealth/ICD10_AM/condition_codes
E02|Субклінічний гіпотиреоз внаслідок дефіциту йоду|eHealth/ICD10_AM/condition_codes
E15|Недiабетична гiпоглiкемiчна кома|eHealth/ICD10_AM/condition_codes
E40|Квашiоркор|eHealth/ICD10_AM/condition_codes
E41|Аліментарний маразм|eHealth/ICD10_AM/condition_codes
E42|Маразматичний квашiоркор|eHealth/ICD10_AM/condition_codes
E43|Неуточнена важка бiлково-енергетична недостатність|eHealth/ICD10_AM/condition_codes
E45|Затримка розвитку внаслідок бiлково-енергетичної харчової недостатності|eHealth/ICD10_AM/condition_codes
E46|Неуточнена бiлково-енергетична харчова недостатність|eHealth/ICD10_AM/condition_codes
E52|Дефіцит нікотинової кислоти [пелагра]|eHealth/ICD10_AM/condition_codes
E54|Дефіцит аскорбінової кислоти|eHealth/ICD10_AM/condition_codes
E58|Аліментарний дефіцит кальцію|eHealth/ICD10_AM/condition_codes
E59|Аліментарний дефіцит селену|eHealth/ICD10_AM/condition_codes
E60|Аліментарний дефіцит цинку|eHealth/ICD10_AM/condition_codes
E65|Локалізоване відкладення жиру|eHealth/ICD10_AM/condition_codes
E68|Наслідки надмірного харчування|eHealth/ICD10_AM/condition_codes
E84|Кістозний фіброз|eHealth/ICD10_AM/condition_codes
E86|Виснаження об'єму рідин організму|eHealth/ICD10_AM/condition_codes
F03|Неуточнена деменція|eHealth/ICD10_AM/condition_codes
F09|Неуточнений органічний чи симптоматичний психічний розлад|eHealth/ICD10_AM/condition_codes
F21|Шизотиповий розлад|eHealth/ICD10_AM/condition_codes
F24|Індукований маревний розлад|eHealth/ICD10_AM/condition_codes
F28|Інші неорганічні психотичнi розлади|eHealth/ICD10_AM/condition_codes
F29|Неуточнений неорганічний психоз|eHealth/ICD10_AM/condition_codes
F39|Неуточнений розлад настрою [афективний]|eHealth/ICD10_AM/condition_codes
F54|Психологічні та поведінкові фактори, пов'язані з розладами чи хворобами, класифікованими в інших рубриках|eHealth/ICD10_AM/condition_codes
F59|Неуточнені поведінкові синдроми, пов'язані з фізіологічними розладами та фізичними факторами|eHealth/ICD10_AM/condition_codes
F61|Змішані та інші розлади особистості|eHealth/ICD10_AM/condition_codes
F69|Неуточнений розлад особистості та поведінки у дорослому віці|eHealth/ICD10_AM/condition_codes
F82|Специфічний розлад розвитку рухової функції|eHealth/ICD10_AM/condition_codes
F83|Змішані специфічні розлади психологічного розвитку|eHealth/ICD10_AM/condition_codes
F88|Інші розлади психологічного розвитку|eHealth/ICD10_AM/condition_codes
F89|Неуточнений розлад психологічного розвитку|eHealth/ICD10_AM/condition_codes
