C19005|COVID - Консультація
93173-00|Акупунктура
92055-00|Інша зміна серцевого ритму
13500-00|Шлункова гіпотермія
92025-00|Промивання ока
92060-00|Введення аутокрові
97414-00|Пульпотомія
96233-00|Роботизоване втручання
45545-01|Реконструкція ареоли
30460-05|Холедохоентеростомія
11306-00|Інша аудіометрія
33512-00|Аорто-клубова ендартеректомія
42764-00|Іридотомія
49100-00|Артротомія ліктя
42869-00|Введення імплантату в повіку
90667-00|Видалення ксенотрансплантата
30068-00|Видалення сторонніх тіл з м'яких тканин, не класифіковане в інших рубриках
92047-00|Видалення трахеостомічної трубки
90342-02|Накладення швів на розрив шлунку
33815-08|Пряме закриття пахвової вени
90209-00|Пряме закриття підключичної артерії
90062-00|Радіальна кератотомія
30454-00|Холедохотомія
30473-01|Панендоскопія до дванадцятипалої кишки з біопсією
90165-01|Інші ендоскопічні процедури на бронхах
A67002|Консультація Терапевта
C19017|COVID - Переведено з ВІТ
L67001|Консультація Ортопеда-травматолога дитячого
A67043|Консультація Хірурга торакального
B67004|Консультація Гематолога дитячого
A67042|Консультація Отоларинголога-онколога
A67041|Консультація Отоларинголога дитячого
A67040|Консультація Інфекціоніста дитячого
X67003|Консультація Гінеколога-онколога
X67001|Консультація Гінеколога дитячого та підліткового віку
U67005|Консультація Сексопатолога
U67003|Консультація Нефролога дитячого
U67001|Консультація Уролога дитячого
T67003|Консультація Дієтолога
T67001|Консультація Ендокринолога дитячого
S67001|Консультація Дерматовенеролога дитячого
R67003|Консультація Фтизіатра дитячого
R67001|Консультація Пульмонолога дитячого
N67004|Консультація Нейрохірурга дитячого
N67001|Консультація Невролога дитячого
K67001|Консультація Кардіоревматолога дитячого
F67001|Консультація Офтальмолога дитячого
D67012|Консультація Стоматолога-хірурга
D67011|Консультація Стоматолога-терапевта
D67010|Консультація Стоматолога-ортопеда
D67009|Консультація Стоматолога-ортодонта
C19003|COVID - Проведено ПЛР тест
C19006|COVID - Рекомендовано самоізоляцію
C19007|COVID - Направив в стаціонар
C19008|COVID - Госпіталізовано
C19010|COVID - Відключено від ШВЛ
C19011|COVID - Виписав зі стаціонару
C19012|COVID - Переведено до іншого ЗОЗ
C19009|COVID - Підкючено до ШВЛ
C19013|COVID - Прийнято з іншого ЗОЗ
C19014|COVID - Залишив стаціонар за власним бажанням
C19015|COVID - Виїзд мобільної бригади
96240-00|Духовний ритуал
C19018|COVID - Приєднання до джерела кисню
D67008|Консультація Стоматолога дитячого
D67001|Консультація Гастроентеролога дитячого
45652-00|Абляція ринофіми за допомогою лазера
45669-00|Абляція червоної кайми губи за допомогою лазера
45024-00|Абразивна терапія ≥2 естетичних ділянок обличчя
45021-00|Абразивна терапія 1 естетичної ділянки обличчя
45021-01|Абразивна терапія іншої ділянки
97531-00|Адгезивна реставрація бічного зуба (моляра або премоляра), 1 поверхня, пряма
97532-00|Адгезивна реставрація бічного зуба (моляра або премоляра), 2 поверхні, пряма
97533-00|Адгезивна реставрація бічного зуба (моляра або премоляра), 3 поверхні, пряма
97534-00|Адгезивна реставрація бічного зуба (моляра або премоляра), 4 поверхні, пряма
97535-00|Адгезивна реставрація бічного зуба (моляра або премоляра),5 поверхонь, пряма
97521-01|Адгезивна реставрація переднього зуба, 1 поверхня, пряма
97522-01|Адгезивна реставрація переднього зуба, 2 поверхні, пряма
97523-01|Адгезивна реставрація переднього зуба, 3 поверхні, пряма
97524-00|Адгезивна реставрація переднього зуба, 4 поверхні, пряма
97525-00|Адгезивна реставрація переднього зуба, 5 поверхонь, пряма
96231-00|Апаратна перфузія при трансплантації органів
96181-00|Арт-терапія
13750-04|Аферез стовбурових клітин
13706-04|Введення лейкоцитів
13750-05|Аферез стовбурових клітин з кріоконсервуванням
13506-00|Балонна тампонада шлунка та стравоходу
96182-00|Бібліотерапія
97153-00|Бімаксилярна капа, непряма фіксація
15327-04|Брахітерапія з імплантацією постійного імплантата, < 10 джерел
15327-05|Брахітерапія з імплантацією постійного імплантату, ≥ 10 джерел
15327-07|Брахітерапія з імплантацією тимчасового багатоплощинного або об'ємного імплантата, висока потужність дози
15327-02|Брахітерапія з імплантацією тимчасового багатоплощинного або об'ємного імплантата, низька потужність дози
15327-03|Брахітерапія з імплантацією тимчасового багатоплощинного або об'ємного імплантата, пульсуюча потужність дози
15327-06|Брахітерапія з імплантацією тимчасового одноплощинного джерела, висока потужність дози
15327-00|Брахітерапія з імплантацією тимчасового одноплощинного джерела, низька потужність дози
15327-01|Брахітерапія з імплантацією тимчасового одноплощинного джерела, пульсуюча потужність дози
90766-00|Брахітерапія за допомогою поверхневих аплікаторів, інших локалізацій
15012-00|Брахітерапія ока
15312-00|Брахітерапія, внутрішньовагінальна, висока потужність дози
15311-00|Брахітерапія, внутрішньовагінальна, низька потужність дози
15304-00|Брахітерапія, внутрішньоматкова, висока потужність дози
15303-00|Брахітерапія, внутрішньоматкова, низька потужність дози
90764-01|Брахітерапія, внутрішньопорожнинна, висока потужність дози
90764-00|Брахітерапія, внутрішньопорожнинна, низька потужність дози
15360-00|Брахітерапія, внутрішньосудинна
15320-00|Брахітерапія, комбінована внутрішньоматкова та внутрішньовагінальна, висока потужність дози
15319-00|Брахітерапія, комбінована внутрішньоматкова та внутрішньовагінальна, низька потужність дози
15338-00|Брахітерапія, передміхурової залози
92147-00|Вакцинація від кашлюку
92167-00|Вакцинація проти Haemophilus influenzae тип В
92180-00|Вакцинація проти аутоімунних захворювань
92157-00|Вакцинація проти вірусних хвороб, не класифікована в інших рубриках
92169-00|Вакцинація проти гепатиту А
92168-00|Вакцинація проти гепатиту В
92154-00|Вакцинація проти епідемічного паротиту
92152-00|Вакцинація проти жовтої гарячки
92153-00|Вакцинація проти кору
92155-00|Вакцинація проти краснухи
92170-00|Вакцинація проти Ку-гарячки
92166-00|Вакцинація проти менінгококу
92165-00|Вакцинація проти пневмококу
92151-00|Вакцинація проти сказу
92145-00|Вакцинація проти туберкульозу
92143-00|Вакцинація проти холери
92144-00|Вакцинація проти черевного тифу та паратифу
39013-01|Введення агента в реберно-хребетний суглоб
90660-00|Введення агента в шкіру та підшкірну клітковину
39013-00|Введення агента у зигоапофізеальний (фасетковий) суглоб
18366-01|Введення агента у зовнішні м'язи очного яблука при косоокості
92148-00|Введення АП-анатоксину
92105-00|Введення вагінального зліпка
92156-00|Введення вакцини проти кору, епідемічного паротиту та краснухи
92150-00|Введення вакцини проти поліомієліту
13706-05|Введення гамма-глобуліну
92146-00|Введення дифтерийного анатоксину
92106-00|Введення діафрагми (ковпачка) в піхву
13706-02|Введення еритроцитарної маси
18276-00|Введення знеболювального засобу в ділянках паравертебральних нервів на кількох рівнях
18244-00|Введення знеболювального засобу в ділянці блукаючого нерва
18286-00|Введення знеболювального засобу в ділянці грудного відділу симпатичної нервової системи
18274-01|Введення знеболювального засобу в ділянці грудного паравертебрального нерва
18248-00|Введення знеболювального засобу в ділянці діафрагмального нерва
18250-00|Введення знеболювального засобу в ділянці додаткового спинномозкового нерва
39013-02|Введення знеболювального засобу в ділянці задніх первинних гілок спинномозкового нерва
18272-01|Введення знеболювального засобу в ділянці заднього великогомілкового нерва
18268-00|Введення знеболювального засобу в ділянці затульного нерва
90022-00|Введення знеболювального засобу в ділянці іншого периферичного нерва
90023-00|Введення знеболювального засобу в ділянці іншого черепного нерва
18260-00|Введення знеболювального засобу в ділянці кількох міжреберних нервів
18280-00|Введення знеболювального засобу в ділянці клинопіднебінного ганглія
18262-01|Введення знеболювального засобу в ділянці клубово-пахового нерва
18262-00|Введення знеболювального засобу в ділянці клубово-підчеревного нерва
18274-03|Введення знеболювального засобу в ділянці крижового паравертебрального нерва
18274-04|Введення знеболювального засобу в ділянці куприкового паравертебрального нерва
18272-03|Введення знеболювального засобу в ділянці литкового нерва
18238-00|Введення знеболювального засобу в ділянці лицевого нерва
18266-00|Введення знеболювального засобу в ділянці ліктьового нерва
18256-00|Введення знеболювального засобу в ділянці надлопаткового нерва
18282-00|Введення знеболювального засобу в ділянці нерва каротидного синуса
18288-01|Введення знеболювального засобу в ділянці нутрощевого вузла
18292-02|Введення нейролітичного засобу в інший симпатичний нерв
18258-00|Введення знеболювального засобу в ділянці окремого міжреберного нерва
18236-00|Введення знеболювального засобу в ділянці периферичної гілки трійничного нерва
18234-00|Введення знеболювального засобу в ділянці першої гілки трійничного нерва
18272-02|Введення знеболювального засобу в ділянці підколінного нерва
18272-00|Введення знеболювального засобу в ділянці підшкірного нерва
18254-00|Введення знеболювального засобу в ділянці плечового сплетення
18286-01|Введення знеболювального засобу в ділянці поперекового відділу симпатичної нервової системи
18274-02|Введення знеболювального засобу в ділянці поперекового паравертебрального нерва
18242-00|Введення знеболювального засобу в ділянці потиличного нерва
18266-01|Введення знеболювального засобу в ділянці променевого нерва
18266-02|Введення знеболювального засобу в ділянці серединного нерва
18278-00|Введення знеболювального засобу в ділянці сідничного нерва
18264-00|Введення знеболювального засобу в ділянці соромітного нерва
18262-02|Введення знеболювального засобу в ділянці статево-стегнового нерва
18270-00|Введення знеболювального засобу в ділянці стегнового нерва
18288-00|Введення знеболювального засобу в ділянці черевного сплетення
18284-00|Введення знеболювального засобу в ділянці шийного відділу симпатичної нервової системи
18274-00|Введення знеболювального засобу в ділянці шийного паравертебрального нерва
18252-00|Введення знеболювального засобу в ділянці шийного сплетення
18246-00|Введення знеболювального засобу в ділянці язико-глоткового нерва
18286-02|Введення знеболювального засобу в районі іншого симпатичного нерва
92164-00|Введення інших сироваток
92107-00|Введення іншого пессарію в піхву
92064-00|Введення іншого продукту крові
92062-00|Введення іншої сироватки
92149-00|Введення комбінованої вакцини для профілактики кашлюку, дифтерії, правця
92036-00|Введення назогастрального зонда
92066-00|Введення наконечника для клізми (ректоскопа, газовідвідної трубки)
18298-01|Введення нейролітичного засобу в грудний відділ симпатичної нервової системи
97734-00|Вкладка оверлей, один зуб
39013-03|Введення нейролітичного засобу в задні первинні гілки спинномозкового нерва
18292-00|Введення нейролітичного засобу в інший периферичний нерв
45025-00|Шліфування шиї СО2 лазером
18290-00|Введення нейролітичного засобу в інший черепний нерв
18292-01|Введення нейролітичного засобу в клинопіднебінний ганглій
39100-00|Введення нейролітичного засобу в першу гілку трійничного нерва
18296-00|Введення нейролітичного засобу в поперековий відділ симпатичної нервової системи
18294-00|Введення нейролітичного засобу в черевне сплетення
18298-00|Введення нейролітичного засобу в шийний відділ симпатичної нервової системи
18294-01|Введення нейролітичного засобу у нутрощевий нерв
92063-00|Введення плазмозамінників
92163-00|Введення протиботулінічної антитоксичної сироватки
96195-00|Введення протиотрутної сироватки, інше
96195-01|Введення протиотрутної сироватки, прискорений протокол
96195-02|Введення протиотрутної сироватки, терміновий протокол
92162-00|Введення протиправцевої сироватки
92076-00|Видалення калових каменів
90029-00|Введення симпатолітичного засобу
90960-00|Введення терапевтичної дози іншого відкритого радіоізотопу
16003-00|Введення терапевтичної дози Ітрію-90
16009-00|Введення терапевтичної дози Йоду-131
16018-00|Введення терапевтичної дози Самарію (153 SM) Лексідронам
16015-00|Введення терапевтичної дози Стронцію-89
16012-00|Введення терапевтичної дози Фосфору-32
13706-03|Введення тромбоцитарної маси
92061-00|Введення факторів згортання крові
97841-00|Введення фіксованої піднебінної або лінгвальної (ортодонтичної) дуги
40336-00|Введення хемонуклеолітичного агента в диск
13706-01|Введення цільної крові
22008-01|Ведення пацієнта при проведенні ендотрахеальної інтубації, двопросвітної
22007-01|Ведення пацієнта при проведенні ендотрахеальної інтубації, однопросвітної
92035-01|Ведення пацієнта при проведенні іншої інтубації дихальних шляхів
92211-00|Ведення пацієнта при проведенні комбінованої допоміжної ШВЛ, ≥ 96 годин
90179-05|Ведення пацієнта при проведенні назофарингеальної інтубації
92209-01|Ведення пацієнта при проведенні неінвазивної допоміжної штучної вентиляції легені, > 24 і < 96 годин
92209-00|Ведення пацієнта при проведенні неінвазивної допоміжної штучної вентиляції легені, ≤ 24 годин
92209-02|Ведення пацієнта при проведенні неінвазивної допоміжної штучної вентиляції легені, ≥ 96 годин
96091-00|Виготовлення допоміжного засобу, адаптивного пристрою чи додаткового обладнання
97926-00|Виготовлення за індивідуальними параметрами пацієнта капи на нижню або верхню щелепу для можливості самостійного введення лікарських засобів
92111-00|Видалення внутрішньоматкового тампону
92113-00|Видалення діафрагми (ковпачка) з піхви
96094-00|Видалення допоміжного засобу, адаптивного пристрою чи додаткового обладнання
92081-00|Видалення дренажного пристрою з заочеревинного простору
92082-00|Видалення дренажного пристрою з очеревини
15339-00|Видалення закритого радіоактивного джерела
97668-00|Видалення і заміна гвинта конструкції або абатменту
97669-00|Видалення і повторне приєднання протезу, зафіксованого до імплантата, один імплантат
92114-00|Видалення іншого пессарію з піхви
92119-00|Видалення іншого пристрою для виведення сечі
92122-00|Видалення іншого пристрою з сечовидільної системи
92142-00|Видалення іншого пристрою з тулуба
92086-00|Видалення іншого пристрою з шлунково-кишкового тракту
92116-00|Видалення іншого пристрою зі статевих шляхів
97114-00|Видалення конкрементів з поверхні зубів
97655-00|Видалення коронки
92202-00|Видалення лікувального пристрою, не класифіковане в інших рубриках
92050-00|Видалення медіастинального дренажу
97656-00|Видалення моста або шини
97111-00|Видалення нальоту або плям на зубах
97595-00|Видалення непрямого відновлення
30062-00|Видалення підшкірного гормонального імплантату
36650-00|Видалення пієлостомічної або нефростомічної трубки
92141-00|Видалення пристрою з черевної порожнини
92115-00|Видалення стенту або кільця з передміхурової залози
92120-00|Видалення стенту сечовода
92201-00|Видалення стороннього тіла без розрізу, не класифіковане в інших рубриках
92138-00|Видалення стороннього тіла з голови або шиї без розрізу
92032-00|Видалення стороннього тіла з гортані без розрізу
92125-00|Видалення стороннього тіла з жіночих зовнішніх статевих органів без розрізу
92126-00|Видалення стороннього тіла з калитки або статевого члена без розрізу
92123-00|Видалення стороннього тіла з матки без розрізу
92124-00|Видалення стороннього тіла з піхви без розрізу
